Timestamp;IMU_angle[0];Set_Yaw
126454000;-91.640137;-90.009010
126465000;-91.639908;-90.009010
126476000;-91.640808;-90.009010
126488000;-91.640854;-90.009010
126498000;-91.641144;-90.009010
126510000;-91.641960;-90.009010
126520000;-91.640930;-90.009010
126531000;-91.642273;-90.009010
126542000;-91.643532;-90.009010
126553000;-91.643753;-90.009010
126564000;-91.643669;-90.009010
126575000;-91.644539;-90.009010
126586000;-91.645920;-90.009010
126598000;-91.645004;-90.009010
126608000;-91.643723;-90.009010
126619000;-91.644760;-90.009010
126630000;-91.644516;-90.009010
126641000;-91.644897;-90.009010
126653000;-91.644501;-90.009010
126664000;-91.644302;-90.009010
126674000;-91.643356;-90.009010
126685000;-91.643494;-90.009010
126696000;-91.643005;-90.009010
126707000;-91.643333;-90.009010
126717000;-91.642700;-90.009010
126728000;-91.644707;-90.009010
126738000;-91.644096;-90.009010
126749000;-91.644363;-90.009010
126760000;-91.643799;-90.009010
126770000;-91.642792;-90.009010
126781000;-91.644669;-90.009010
126791000;-91.645462;-90.009010
126803000;-91.644821;-90.009010
126814000;-91.644699;-90.009010
126825000;-91.644058;-90.009010
126835000;-91.645401;-90.009010
126846000;-91.644318;-90.009010
126856000;-91.642883;-90.009010
126868000;-91.643097;-90.009010
126879000;-91.643684;-90.009010
126890000;-91.642639;-90.009010
126900000;-91.641602;-90.009010
126911000;-91.641899;-90.009010
126921000;-91.641136;-90.009010
126932000;-91.639938;-90.009010
126943000;-91.639496;-90.009010
126953000;-91.639709;-90.009010
126965000;-91.639038;-90.009010
126975000;-91.637337;-90.009010
126985000;-91.636093;-90.009010
126996000;-91.636848;-90.009010
127006000;-91.637024;-90.009010
127017000;-91.638657;-90.009010
127027000;-91.638702;-90.009010
127038000;-91.639992;-90.009010
127049000;-91.638474;-90.009010
127059000;-91.638046;-90.009010
127070000;-91.639481;-90.009010
127081000;-91.638351;-90.009010
127092000;-91.639618;-90.009010
127103000;-91.639366;-90.009010
127114000;-91.638390;-90.009010
127125000;-91.637970;-90.009010
127136000;-91.637917;-90.009010
127147000;-91.639038;-90.009010
127157000;-91.639679;-90.009010
127167000;-91.639801;-90.009010
127179000;-91.639694;-90.009010
127189000;-91.639679;-90.009010
127199000;-91.638260;-90.009010
127211000;-91.637939;-90.009010
127222000;-91.636642;-90.009010
127232000;-91.637085;-90.009010
127243000;-91.636848;-90.009010
127254000;-91.636711;-90.009010
127264000;-91.637077;-90.009010
127274000;-91.637756;-90.009010
127285000;-91.637131;-90.009010
127295000;-91.637344;-90.009010
127306000;-91.635521;-90.009010
127316000;-91.634491;-90.009010
127327000;-91.634209;-90.009010
127337000;-91.635956;-90.009010
127347000;-91.636322;-90.009010
127359000;-91.635544;-90.009010
127370000;-91.634979;-90.009010
127380000;-91.635658;-90.009010
127391000;-91.636230;-90.009010
127401000;-91.635902;-90.009010
127412000;-91.635674;-90.009010
127423000;-91.633148;-90.009010
127435000;-91.633133;-90.009010
127446000;-91.633659;-90.009010
127456000;-91.633629;-90.009010
127467000;-91.633438;-90.009010
127477000;-91.632660;-90.009010
127488000;-91.632294;-90.009010
127498000;-91.632057;-90.009010
127510000;-91.633621;-90.009010
127520000;-91.633682;-90.009010
127530000;-91.632095;-90.009010
127541000;-91.632156;-90.009010
127552000;-91.630569;-90.009010
